name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,0.0,0.0,0.0,,,0.0,0.3,74.1,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.1,0.052,0.66,,0.0015,0.13,0.0045,0.034,0.0,0.0,,
Agavensirup,,,0.2,73.1,0.0,293,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.004,0.0,0.0,0.0,0.0,,
Ahornsirup,,,0.0,67.2,0.2,271,0.0,0.1,0.1,,,58.6,0.0,0.0,0.0,,,2e-05,0.00073,0.00016,4e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.023,0.22,0.073,,0.002,0.011,0.0001,0.002,6e-07,0.0,,
"Alge, Nori, getrocknet",,,31.5,10.5,1.6,255,0.4,0.2,0.7,,,0.5,5.0,36.3,0.0,,,0.00058,0.00191,0.0058200000000000005,0.00025,0.00053,,2.17e-05,0.0,0.0573,6e-07,0.00287,,,0.49,1.73,0.32,,0.0045,1.98,0.037,0.52,5.1e-05,0.0051,,
"Älplermagronen, zubereitet",,,6.0,17.8,9.0,180,5.3,2.1,0.5,,,1.3,1.1,1.7,0.026,,,4e-05,8.999999999999999e-05,0.00069,0.00025,8e-05,,1.0199999999999999e-05,2.2e-07,0.004900000000000001,2.0000000000000002e-07,0.00020999999999999998,,,0.021,0.17,0.12,,0.0008,0.44,0.0003,0.12,0.0,6.5999999999999995e-06,,
"Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0.0,,,2e-05,5.9999999999999995e-05,0.00034,0.00027,0.00011,,1.62e-05,0.0,0.001,0.0,0.0004,,,0.084,0.15,0.058,,0.0012,0.0019,0.003,0.18,0.0,8.000000000000001e-07,,
"Amaranth, Samen, roh",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11.0,0.0,,,8e-05,0.00019,0.0012,0.00095,0.00053,,6.429999999999999e-05,0.0,0.004200000000000001,0.0,0.0011899999999999999,,,0.25,0.48,0.16,,0.0037,0.004,0.009,0.56,0.0,2.5e-06,,
Amaretti (Mandelgebäck),,,8.8,76.7,13.0,464,1.1,8.3,3.0,,,76.4,0.1,2.6,0.0,,,4e-05,0.00031,0.00047999999999999996,0.00017,4e-05,,1.5e-05,7e-08,0.0001,0.0,0.00633,,,0.062,0.22,0.069,,0.0008,0.042,0.0009,0.13,3.2000000000000003e-06,1.7e-06,,
"Ananas in Ananassaft, Konserve, abgetropft",,,0.5,13.6,0.1,60,0.0,0.0,0.0,,,12.8,0.0,1.4,0.0,,,5.9999999999999995e-05,0.0,0.0002,7.000000000000001e-05,8e-05,,5e-06,0.0,0.005,0.0,2e-05,,,0.012,0.13,0.011,,0.0001,0.001,0.0002,0.0078,1.0000000000000001e-07,3e-07,,
"Ananas in Ananassaft, Konserve, nicht abgetropft",,,0.4,13.6,0.1,59,0.0,0.0,0.0,,,12.6,0.0,0.9,0.0,,,5.9999999999999995e-05,1e-05,0.0002,5.9999999999999995e-05,5.9999999999999995e-05,,5e-06,0.0,0.005,0.0,1e-05,,,0.012,0.13,0.01,,0.0001,0.0002,0.0002,0.0070999999999999995,1.0000000000000001e-07,1.0000000000000001e-07,,
"Ananas in Sirup, Konserve, abgetropft",,,0.5,15.9,0.1,70,0.0,0.0,0.0,,,15.9,0.0,1.6,0.0,,,2.9999999999999997e-05,0.0,0.0002,4e-05,5e-05,,5e-06,0.0,0.0052,0.0,2e-05,,,0.011,0.095,0.0064,,0.0001,0.0019,0.0001,0.0048,1.0000000000000001e-07,3e-07,,
"Ananas mit Süssungsmittel, Konserve, abgetropft",,,0.5,9.4,0.1,42,0.0,0.0,0.0,,,8.4,0.0,1.0,0.0,,,4e-05,1e-05,0.00016,0.0001,5e-05,,4.7e-06,0.0,0.022600000000000002,0.0,2e-05,,,0.0088,0.073,0.013,,0.0001,0.0006,0.0001,0.0048,3e-07,1.4e-06,,
"Ananas, roh",,,0.5,11.7,0.1,52,0.0,0.0,0.0,,,10.5,0.0,1.2,0.0,,,7.000000000000001e-05,2e-05,0.0002,0.00013000000000000002,7.000000000000001e-05,,9.4e-06,0.0,0.0565,0.0,2e-05,,,0.011,0.12,0.014,,0.0001,0.001,0.0002,0.006,3e-07,1.4e-06,,
Ananassaft,,,0.4,12.1,0.1,51,0.0,0.0,0.1,,,12.1,0.0,0.2,0.0,,,5e-05,2e-05,0.0002,0.0001,0.0001,,2e-06,0.0,0.0121,0.0,2e-05,,,0.014,0.13,0.016,,0.0001,0.005,0.0002,0.004,1.0000000000000001e-07,0.0,,
"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)",,,0.3,12.2,0.3,56,0.1,0.0,0.2,,,12.1,0.0,1.5,0.0,,,1e-05,1e-05,8.999999999999999e-05,8.999999999999999e-05,4e-05,,4e-06,0.0,0.0038,0.0,0.00011999999999999999,,,0.0068,0.094,0.0067,,0.0001,0.0012,0.0001,0.015,9.000000000000001e-07,1.1e-06,,
"Apfel, geschält, getrocknet",,,1.4,55.4,1.6,264,0.7,0.1,0.9,,,50.0,0.0,11.2,0.0,,,4e-05,2.9999999999999997e-05,0.00047999999999999996,0.00028000000000000003,0.00011999999999999999,,1.4e-05,0.0,0.0018,0.0,0.00157,,,0.023,0.62,0.03,,0.0002,0.01,0.0012,0.05,5e-07,4.1e-06,,
"Apfelkuchen, hausgemacht, gebacken (mit Blätterteig)",,,2.7,19.7,7.5,160,3.3,2.9,0.9,,,10.4,0.3,1.4,0.02,,,2.9999999999999997e-05,4e-05,0.00011,0.00022,4e-05,,5.3e-06,8e-08,0.0043,2.0000000000000002e-07,0.00078,,,0.0083,0.12,0.019,,0.0002,0.12,0.0002,0.038,2.2e-06,3.7999999999999996e-06,,
"Apfelkuchen, hausgemacht, gebacken (mit Kuchenteig)",,,2.9,20.5,7.3,162,3.3,2.7,0.9,,,10.4,0.2,1.5,0.02,,,4e-05,5e-05,0.00011,0.00023999999999999998,5e-05,,5.7999999999999995e-06,8e-08,0.0043,2.0000000000000002e-07,0.00074,,,0.011,0.13,0.02,,0.0003,0.099,0.0004,0.048,2.2e-06,3.7999999999999996e-06,,
"Apfelmus, gezuckert (Konserve)",,,0.3,20.5,0.3,89,0.1,0.0,0.1,,,20.4,0.0,1.9,0.0,,,2e-05,2e-05,8e-05,8e-05,4e-05,,5.9e-06,0.0,0.0023,0.0,0.00034,,,0.0036,0.097,0.0044,,0.0001,0.0036,0.0002,0.0081,0.0,7e-07,,
