name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Acciuga sott'olio, sgocciolata",,,26.4,0.2,8.5,182,3.1,3.6,1.4,,,0.1,12.0,0.0,0.076,,,4e-05,0.00025,0.0039,0.00063,0.00037,,1.6e-05,2.09e-05,0.0005,1.7e-06,0.00116,,,0.23,0.25,0.29,,0.0017,4.97,0.0027,0.28,8e-06,3e-05,,
Aceto,,,0.1,0.7,0.0,21,0.0,0.0,0.0,,,0.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0077,0.035,0.007,,0.0002,0.0077,0.0002,0.012,0.0,5e-06,,
Aceto balsamico,,,0.7,25.8,0.6,128,0.0,0.0,0.0,,,19.1,0.1,0.5,0.0,,,2e-05,1e-05,0.0001,7.000000000000001e-05,0.00171,,5.5e-06,0.0,0.0005,3e-07,0.0,,,0.012,0.16,0.018,,0.0001,0.027,0.001,0.024,2e-05,2e-05,,
Acqua potabile (valori medi in Svizzera),,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.001,0.0,0.007,,0.0,0.001,0.0,0.0,0.0,0.0,,
"Acquavite 40 % vol (Vodka, Gin)",,,0.0,0.0,0.0,234,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.004,0.0,,0.0,0.003,0.0,0.004,0.0,0.0,,
Acquavite di canna da zucchero (p.es. Rum),,,0.0,0.0,0.0,234,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1e-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.002,0.0,,0.0001,0.001,0.0001,0.005,0.0,0.0,,
"Acquavite di cereali, 40% vol (p.es. Whisky)",,,0.0,0.1,0.0,247,0.0,0.0,0.0,,,0.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.001,0.003,0.002,,0.0001,0.001,0.0,0.005,0.0,0.0,,
Acquavite di ciliegie (Kirsch),,,0.0,0.0,0.0,245,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.003,0.002,,0.0,0.0,0.0,0.0,0.0,0.0,,
"Acquavite di vino (p.es. Cognac, brandy)",,,0.0,2.0,0.0,240,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.001,0.002,0.0,,0.0,0.002,0.0,0.0,0.0,0.0,,
Affettati (media),,,13.8,0.7,24.0,274,9.1,11.2,2.2,,,0.7,2.0,0.0,0.058,,,0.00028000000000000003,0.00013000000000000002,0.0029100000000000003,0.00041999999999999996,0.00015,,1.8000000000000001e-06,9.100000000000001e-07,0.026600000000000002,5e-07,0.00020999999999999998,,,0.012,0.12,0.0081,,0.0015,0.79,0.0008,0.15,0.0,9.000000000000001e-07,,
Agar Agar,,,2.4,0.0,0.2,160,0.0,0.0,0.0,,,0.0,0.3,74.1,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.1,0.052,0.66,,0.0015,0.13,0.0045,0.034,0.0,0.0,,
"Aglio, crudo",,,6.4,16.3,0.5,107,0.1,0.0,0.3,,,1.6,0.0,5.8,0.0,,,0.0002,0.00011,0.0007,0.00035999999999999997,0.00124,,2.61e-05,0.0,0.017,0.0,1e-05,,,0.02,0.53,0.011,,0.0007,0.009,0.0017,0.13,2e-06,1.4e-06,,
"Agnello, carré, crudo (Australia, Nuova Zelanda)",,,20.3,0.0,8.3,156,3.9,2.8,0.6,,,0.0,0.2,0.0,0.068,,,0.00017999999999999998,5.9999999999999995e-05,0.0066,0.00057,0.00061,,6e-06,3.6099999999999997e-06,0.0,2.8999999999999998e-06,0.0005,,,0.024,0.3,0.0075,,0.0022,0.063,0.0018,0.18,7.2000000000000005e-06,9.000000000000001e-07,,
"Agnello, cosciotto, arrosto (senza aggiunta di grassi o sale)",,,28.6,0.0,9.8,203,4.7,3.7,0.8,,,0.0,0.2,0.0,0.097,,,0.00016,7.000000000000001e-05,0.006809999999999999,0.0011,0.00041,,7.2000000000000005e-06,3.77e-06,0.0,7.2000000000000005e-06,0.00047999999999999996,,,0.025,0.39,0.0063,,0.0054,0.077,0.0023,0.24,7e-06,1.2e-06,,
"Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo ",,,20.2,0.0,8.2,155,3.9,3.1,0.6,,,0.0,0.2,0.0,0.065,,,0.00017999999999999998,5.9999999999999995e-05,0.00652,0.00092,0.00046,,6e-06,3.6099999999999997e-06,0.0,6.1e-06,0.0004,,,0.02,0.33,0.0047,,0.0036,0.061,0.0016,0.19,4.7e-06,8.000000000000001e-07,,
"Agnello, costoletta, cruda",,,20.2,0.0,10.9,179,5.2,4.0,0.9,,,0.0,0.2,0.0,0.072,,,0.00017999999999999998,5.9999999999999995e-05,0.0066,0.00057,0.00032,,6e-06,3.6099999999999997e-06,0.0,5.2e-06,0.0005,,,0.02,0.31,0.008400000000000001,,0.0021000000000000003,0.069,0.0015,0.18,7e-06,9.000000000000001e-07,,
"Agnello, filetto, cotto in padella, cottura media (senza aggiunta di grassi o sale)",,,25.8,0.0,4.8,147,1.8,1.5,0.4,,,0.0,0.2,0.0,0.088,,,0.0001,0.00025,0.00608,0.0007,0.00014000000000000001,,2.5600000000000002e-05,2.05e-06,0.0,0.0,0.0002,,,0.031,0.29,0.014,,0.0043,0.077,0.0024,0.22,7.9e-06,9.000000000000001e-07,,
"Agnello, filetto, crudo",,,20.4,0.0,4.5,122,1.7,1.4,0.4,,,0.0,0.2,0.0,0.066,,,0.00013000000000000002,0.00023,0.00651,0.00066,0.00017,,2.4e-05,2.2e-06,0.0,0.0,0.00019,,,0.027,0.28,0.012,,0.0032,0.068,0.0019,0.19,5.9e-06,7e-07,,
