name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
"Abricot, au sirop, en conserve, égoutté",,,0.9,13.7,0.1,62,0,0.1,0,,,13.3,0.0,1.4,0,,154,0.02,0,0.11,0.12,0.02,,6.9,0,2.2,0,0.45,,,4.9,140,18,,0.1,9.7,0.1,11,0.2,0.5,,
"Abricot, avec édulcorant, en conserve, égoutté",,,0.9,8.2,0.1,40,0,0.1,0,,,6.1,0.0,1.4,0,,154,0.02,0.02,0.34,0.16,0.05,,3.2,0,1.6,0,0.57,,,7.6,180,16,,0.1,0.0,0.2,20,0.1,0.6,,
"Abricot, cru",,,0.8,9.0,0.1,44,0,0.1,0,,,6.7,0.0,1.7,0,,384,0.02,0.02,0.38,0.18,0.06,,5.6,0,3.6,0,0.5,,,8.4,260,15,,0.1,0.0,0.2,22,0.1,0.5,,
"Abricot, cuit,  égoutté (sans adjonction de sucre)",,,1.0,9.0,0.2,45,0,0.1,0,,,6.7,0.0,1.7,0,,360,0.02,0.02,0.38,0.18,0.05,,3.5,0,1.8,0,0.63,,,8.4,200,18,,0.1,0.0,0.2,22,0.1,0.6,,
"Abricot, sec",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0,,421,0.01,0.04,2.69,0.58,0.15,,8.9,0,0.2,0,3.57,,,50,1370,82,,0.4,11.0,1.4,110,0.4,2.7,,
Agar Agar,,,2.4,0.0,0.2,160,n.i.,n.i.,n.i.,,,n.i.,0.3,74.1,n.i.,,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,,n.i.,n.i.,n.i.,n.i.,n.i.,,,100,52,660,,1.5,130.0,4.5,34,n.i.,n.i.,,
"Agneau, côtelette, crue (Suisse)",,,20.2,0.0,10.9,179,5.2,4,0.9,,,0,0.2,0.0,72,,9,0.18,0.06,n.i.,0.57,0.32,,6,3.61,0,5.2,0.5,,,20,310,8.4,,2.1,69.0,1.5,180,7,0.9,,
"Agneau, filet, cru",,,20.4,0.0,3.4,112,1.3,1.5,0.2,,,0,0.2,0.0,66,,9,0.13,0.23,6.51,0.66,0.17,,24,2.2,0,0,0.19,,,27,280,12,,3.2,68.0,1.9,190,4.1,0.7,,
"Agneau, filet, cru (Australie, Nouvelle-Zélande)",,,21.8,0.0,3.3,117,1.9,1.9,0.4,,,0,0.1,0.0,72,,9,0.18,0.06,n.i.,0.92,0.51,,6,3.61,0,2.9,0.5,,,23,330,3.8,,2.3,44.0,1.9,200,8.7,0.8,,
"Agneau, filet, grillé ""à point"" (sans adjonction de graisse ni de sel)",,,25.8,0.0,3.6,136,1.4,1.6,0.2,,,0,0.2,0.0,88,,10,0.1,0.25,6.08,0.7,0.14,,25.6,2.05,0,0,0.2,,,31,290,14,,4.3,77.0,2.4,220,5.5,0.9,,
"Agneau, gigot, cru (Suisse, Nouvelle-Zélande)",,,20.2,0.0,8.2,155,4.4,3.7,0.9,,,0,0.2,0.0,65,,9,0.18,0.06,n.i.,0.92,0.46,,6,3.61,0,6.1,0.4,,,20,330,4.7,,3.6,61.0,1.6,190,4.7,0.8,,
"Agneau, gigot, rôti (sans adjonction de graisse ni de sel)",,,28.6,0.0,9.8,203,5.2,4.5,1.1,,,0,0.2,0.0,97,,11,0.16,0.07,n.i.,1.1,0.41,,7.2,3.77,0,7.2,0.48,,,25,390,6.3,,5.4,77.0,2.3,240,7,1.2,,
"Agneau, rack, cru (Australie, Nouvelle-Zélande)",,,20.3,0.0,8.3,156,4.3,3.5,0.9,,,0,0.2,0.0,68,,9,0.18,0.06,1.2,0.57,0.61,,6,3.61,0,2.9,0.5,,,24,300,7.5,,2.2,63.0,1.8,180,n.i.,0.9,,
"Agneau, ragoût, cru (Suisse)",,,19.6,0.0,8.4,154,4.3,3.7,1,,,0,0.2,0.0,66,,0,0.18,0.06,1.2,0.57,0.36,,6,3.61,0,6.1,0.5,,,18,310,4.6,,4.3,60.0,1.3,170,n.i.,0.7,,
"Agneau/mouton (moyenne sans abats ni côtelette), cru",,,20.5,0.0,5.8,134,3,2.7,0.6,,,0,0.1,0.0,67,,7,0.17,0.1,3.86,0.77,0.38,,10.5,3.26,0,3.8,0.4,,,22,310,6.3,,3.3,58.0,1.7,190,n.i.,0.7,,
"Agrume (moyenne), cru",,,0.8,8.0,0.3,41,0,0,0,,,7.4,0.0,2.1,0,,27,0.08,0.03,0.31,0.18,0.05,,18.2,0,45.2,0,0.27,,,12,160,32,,0.1,0.9,0.2,26,0.5,1,,
"Ail, cru",,,7.0,24.5,0.5,137,0.1,0,0.3,,,2.4,0.0,3.0,0,,0,0.2,0.1,0.7,0.6,1.24,,3,0,30,0,0,,,21,450,38,,0.6,10.0,1.4,140,n.i.,2.7,,
"Airelle rouge, crue",,,0.3,6.2,0.5,36,0,0.1,0.3,,,6.1,0.0,2.9,0,,2,0.02,0.02,0.1,0,0.01,,3,0,12,0,0.94,,,6,81,14,,0.2,2.0,0.5,10,n.i.,5,,
"Algue, Nori, séchée",,,31.5,10.5,1.6,255,0.2,0.1,0.6,,,0.5,5.0,36.3,0,,4167,0.58,1.91,5.82,0.25,0.53,,21.7,n.i.,57.3,0.6,2.87,,,490,1730,320,,4.5,1980.0,37,520,51,5100,,
Amande,,,25.6,7.8,52.1,624,4.1,31.4,11.4,,,6.6,0.0,10.6,0,,0,0.15,0.94,1.88,0.48,0.13,,55.9,0,0.5,0,25.44,,,240,740,270,,3.3,1.1,3.3,510,2.2,0.2,,
"Amande, grillée sans graisse, salée",,,25.4,10.1,52.5,637,4.1,33.1,13,,,4.9,0.6,10.9,0,,0,0.08,1.2,3.64,0.32,0.14,,55,0,0,0,23.9,,,280,710,270,,3.3,230.0,3.7,470,2,2.4,,
"Amande, grillée, salée",,,25.6,7.2,55.2,649,4.2,34.8,13.5,,,4.6,0.8,10.5,0,,0,0.09,0.78,3.67,0.23,0.12,,27,0,0,0,25.97,,,270,670,240,,3.1,330.0,3.3,470,2,2.4,,
"Amarante, grain, cru",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11.0,0,,0,0.08,0.19,1.2,0.95,0.53,,64.3,0,4.2,0,1.19,,,250,480,160,,3.7,4.0,9,560,n.i.,2.5,,
