name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
Almond,,,25.6,7.8,52.1,624,4.1,31.4,11.4,,,6.6,0.0,10.6,0,,0,0.15,0.94,1.88,0.48,0.13,,55.9,0,0.5,0,25.44,,,240,740,270,,3.3,1.1,3.3,510,2.2,0.2,,
"Almond drink, plain",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0,,0,0.01,0.02,0.16,0.02,0,,1.9,0,0,0,0.86,,,9.5,34,12,,0.1,36.0,0.1,16,0.2,0.4,,
"Almond drink, plain, with calcium and vitamin fortified",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0,,0,0.01,0.21,0.16,0.02,0,,1.9,0.38,0,0.8,1.8,,,9.5,34,120,,0.1,36.0,0.1,43,0.2,0.4,,
"Almond, dry roasted, salted",,,25.4,10.1,52.5,637,4.1,33.1,13,,,4.9,0.6,10.9,0,,0,0.08,1.2,3.64,0.32,0.14,,55,0,0,0,23.9,,,280,710,270,,3.3,230.0,3.7,470,2,2.4,,
"Almond, roasted, salted",,,25.6,7.2,55.2,649,4.2,34.8,13.5,,,4.6,0.8,10.5,0,,0,0.09,0.78,3.67,0.23,0.12,,27,0,0,0,25.97,,,270,670,240,,3.1,330.0,3.3,470,2,2.4,,
"Amaranth, seed, cooked (without addition of fat and salt)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0,,0,0.02,0.06,0.34,0.27,0.11,,16.2,0,1,0,0.4,,,84,150,58,,1.2,1.9,3,180,n.d.,0.8,,
"Amaranth, seed, raw",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11.0,0,,0,0.08,0.19,1.2,0.95,0.53,,64.3,0,4.2,0,1.19,,,250,480,160,,3.7,4.0,9,560,n.d.,2.5,,
Amaretti (Almond cookie),,,8.8,76.7,13.0,464,1,7.8,2.8,,,76.4,0.1,2.6,0,,0,0.04,0.31,0.48,0.17,0.04,,15,0.07,0.1,0,6.33,,,62,220,69,,0.8,42.0,0.9,130,3.2,1.7,,
Anchovis paste,,,19.8,0.2,21.3,272,4,13.8,2.1,,,0.1,19.0,0.0,57,,11,0.03,0.19,2.93,0.47,0.28,,12,15.68,0.4,1.3,5.19,,,170,190,220,,1.3,7720.0,2.1,210,n.d.,25,,
"Appenzeller, at least 15% fidm",,,33.1,0.0,11.4,235,6.8,2.7,0.5,,,0,2.0,0.0,34,,141,0.04,0.5,0.1,0.54,0.07,,15,1.3,0,0.3,0.36,,,36,120,1090,,2.5,810.0,0.2,730,n.d.,35,,
"Appenzeller, at least 45% fidm",,,24.3,0.0,31.7,384,19,7.4,1.5,,,0,1.6,0.0,95,,382,0.04,0.36,0.1,0.33,0.07,,15,1.06,0,0.5,0.95,,,29,82,740,,4,620.0,0.3,540,n.d.,8.4,,
