name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0,0.2,160,k.A.,k.A.,k.A.,,,k.A.,0.3,74.1,k.A.,,,k.A.,k.A.,k.A.,k.A.,k.A.,,k.A.,k.A.,k.A.,k.A.,k.A.,,,100,52,660,,1.5,130,4.5,34,k.A.,k.A.,,
Agavensirup,,,0.2,73.1,0,293,0,k.A.,k.A.,,,k.A.,0.0,0,k.A.,,,k.A.,k.A.,k.A.,k.A.,k.A.,,k.A.,k.A.,k.A.,k.A.,k.A.,,,k.A.,k.A.,k.A.,,k.A.,4,k.A.,k.A.,k.A.,k.A.,,
Ahornsirup,,,0.0,67.2,0.2,271,0,0.1,0.1,,,58.6,0.0,0,0,,,0.02,0.73,0.16,0.04,0,,0,0,0,0,0,,,23,220,73,,2,11,0.1,2,0.6,0,,
"Alge, Nori, getrocknet",,,31.5,10.5,1.6,255,0.4,0.2,0.7,,,0.5,5.0,36.3,0,,,0.58,1.91,5.82,0.25,0.53,,21.7,k.A.,57.3,0.6,2.87,,,490,1730,320,,4.5,1980,37,520,51,5100,,
"Älplermagronen, zubereitet",,,6.0,17.8,9,180,5.3,2.1,0.5,,,1.3,1.1,1.7,26,,,0.04,0.09,0.69,0.25,0.08,,10.2,0.22,4.9,0.2,0.21,,,21,170,120,,0.8,440,0.3,120,k.A.,6.6,,
"Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0,,,0.02,0.06,0.34,0.27,0.11,,16.2,0,1,0,0.4,,,84,150,58,,1.2,1.9,3,180,k.A.,0.8,,
"Amaranth, Samen, roh",,,15.8,56.8,7,376,1.5,1.7,2.8,,,1.7,0.0,11,0,,,0.08,0.19,1.2,0.95,0.53,,64.3,0,4.2,0,1.19,,,250,480,160,,3.7,4,9,560,k.A.,2.5,,
Amaretti (Mandelgebäck),,,8.8,76.7,13,464,1.1,8.3,3,,,76.4,0.1,2.6,0,,,0.04,0.31,0.48,0.17,0.04,,15,0.07,0.1,0,6.33,,,62,220,69,,0.8,42,0.9,130,3.2,1.7,,
"Ananas in Ananassaft, Konserve, abgetropft",,,0.5,13.6,0.1,60,Sp.,Sp.,Sp.,,,12.8,0.0,1.4,0,,,0.06,Sp.,0.2,0.07,0.08,,5,0,5,0,0.02,,,12,130,11,,0.1,1,0.2,7.8,0.1,0.3,,
"Ananas in Ananassaft, Konserve, nicht abgetropft",,,0.4,13.6,0.1,59,Sp.,Sp.,Sp.,,,12.6,0.0,0.9,0,,,0.06,0.01,0.2,0.06,0.06,,5,0,5,0,0.01,,,12,130,10,,0.1,0.2,0.2,7.1,0.1,0.1,,
"Ananas in Sirup, Konserve, abgetropft",,,0.5,15.9,0.1,70,Sp.,Sp.,Sp.,,,15.9,0.0,1.6,0,,,0.03,Sp.,0.2,0.04,0.05,,5,0,5.2,0,0.02,,,11,95,6.4,,0.1,1.9,0.1,4.8,0.1,0.3,,
"Ananas mit Süssungsmittel, Konserve, abgetropft",,,0.5,9.4,0.1,42,0,0,0,,,8.4,0.0,1,0,,,0.04,0.01,0.16,0.1,0.05,,4.7,0,22.6,0,0.02,,,8.8,73,13,,0.1,0.6,0.1,4.8,0.3,1.4,,
