name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,0.0,0.0,0.0,,,0.0,0.3,74.1,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.1,0.052,0.66,,0.0015,0.13,0.0045,0.034,0.0,0.0,,
Agave syrup,,,0.2,73.1,0.0,293,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.004,0.0,0.0,0.0,0.0,,
Almond,,,25.6,7.8,52.1,624,4.3,33.5,12.1,,,6.6,0.0,10.6,0.0,,,0.00015,0.00094,0.00188,,0.00013000000000000002,,5.59e-05,0.0,0.0005,0.0,0.02544,,,0.24,0.74,0.27,,0.0033,0.0011,0.0033,0.51,2.2e-06,2.0000000000000002e-07,,
"Almond drink, plain",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0.0,,,1e-05,2e-05,0.00016,,0.0,,1.8999999999999998e-06,0.0,0.0,0.0,0.00086,,,0.0095,0.034,0.012,,0.0001,0.036,0.0001,0.016,2.0000000000000002e-07,4.0000000000000003e-07,,
"Almond drink, plain, with calcium and vitamin fortified",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0.0,,,1e-05,0.00020999999999999998,0.00016,,0.0,,1.8999999999999998e-06,3.8e-07,0.0,8.000000000000001e-07,0.0018,,,0.0095,0.034,0.12,,0.0001,0.036,0.0001,0.043,2.0000000000000002e-07,4.0000000000000003e-07,,
"Almond, dry roasted, salted",,,25.4,10.1,52.5,637,4.1,33.1,13.0,,,4.9,0.6,10.9,0.0,,,8e-05,0.0012,0.00364,,0.00014000000000000001,,5.5e-05,0.0,0.0,0.0,0.023899999999999998,,,0.28,0.71,0.27,,0.0033,0.23,0.0037,0.47,2e-06,2.4e-06,,
"Almond, roasted, salted",,,25.6,7.2,55.2,649,4.2,34.8,13.5,,,4.6,0.8,10.5,0.0,,,8.999999999999999e-05,0.00078,0.00367,,0.00011999999999999999,,2.7e-05,0.0,0.0,0.0,0.026,,,0.27,0.67,0.24,,0.0031,0.33,0.0033,0.47,2e-06,2.4e-06,,
"Amaranth, seed, cooked (without addition of fat and salt)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0.0,,,2e-05,5.9999999999999995e-05,0.00034,,0.00011,,1.62e-05,0.0,0.001,0.0,0.0004,,,0.084,0.15,0.058,,0.0012,0.0019,0.003,0.18,0.0,8.000000000000001e-07,,
"Amaranth, seed, raw",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11.0,0.0,,,8e-05,0.00019,0.0012,,0.00053,,6.429999999999999e-05,0.0,0.004200000000000001,0.0,0.0011899999999999999,,,0.25,0.48,0.16,,0.0037,0.004,0.009,0.56,0.0,2.5e-06,,
Amaretti (Almond cookie),,,8.8,76.7,13.0,464,1.1,8.3,3.0,,,76.4,0.1,2.6,0.0,,,4e-05,0.00031,0.00047999999999999996,,4e-05,,1.5e-05,7e-08,0.0001,0.0,0.00633,,,0.062,0.22,0.069,,0.0008,0.042,0.0009,0.13,3.2000000000000003e-06,1.7e-06,,
Anchovis paste,,,19.8,0.2,21.3,272,4.1,13.9,2.2,,,0.1,19.0,0.0,0.057,,,2.9999999999999997e-05,0.00019,0.0029300000000000003,,0.00028000000000000003,,1.2e-05,1.568e-05,0.0004,1.3e-06,0.00519,,,0.17,0.19,0.22,,0.0013,7.72,0.0021000000000000003,0.21,6e-06,2.5e-05,,
"Appenzeller, at least 15% fidm",,,33.1,0.0,11.4,235,6.8,2.7,0.5,,,0.0,2.0,0.0,0.034,,,4e-05,0.0005,0.0001,,7.000000000000001e-05,,1.5e-05,1.3e-06,0.0,3e-07,0.00035999999999999997,,,0.036,0.12,1.09,,0.0025,0.81,0.0002,0.73,0.0,3.5e-05,,
"Appenzeller, at least 45% fidm",,,24.3,0.0,31.7,384,19.0,7.4,1.5,,,0.0,1.6,0.0,0.095,,,4e-05,0.00035999999999999997,0.0001,,7.000000000000001e-05,,1.5e-05,1.06e-06,0.0,5e-07,0.00095,,,0.029,0.082,0.74,,0.004,0.62,0.0003,0.54,0.0,8.400000000000001e-06,,
"Apple, fresh",,,0.3,11.6,0.3,52,0.1,0.0,0.2,,,11.5,0.0,1.4,0.0,,,1e-05,1e-05,8e-05,,4e-05,,6e-06,0.0,0.0072,0.0,8.999999999999999e-05,,,0.0065,0.12,0.0053,,0.0001,0.0015,0.0001,0.014,7e-07,8.000000000000001e-07,,
Apple juice,,,0.2,11.4,0.1,48,0.0,0.0,0.0,,,10.9,0.0,0.2,0.0,,,1e-05,1e-05,4e-05,,4e-05,,6.8e-06,0.0,0.0070999999999999995,0.0,0.0,,,0.0046,0.11,0.0043,,0.0001,0.013,0.0003,0.0066,1.0000000000000001e-07,1e-06,,
"Apple, peeled, dried",,,1.4,55.4,1.6,264,0.7,0.1,0.9,,,50.0,0.0,11.2,0.0,,,4e-05,2.9999999999999997e-05,0.00047999999999999996,,0.00011999999999999999,,1.4e-05,0.0,0.0018,0.0,0.00157,,,0.023,0.62,0.03,,0.0002,0.01,0.0012,0.05,5e-07,4.1e-06,,
"Apple pie, home-made, baked (with cake dough)",,,2.9,20.5,7.3,162,3.3,2.7,0.9,,,10.4,0.2,1.5,0.02,,,4e-05,5e-05,0.00011,,5e-05,,5.7999999999999995e-06,8e-08,0.0043,2.0000000000000002e-07,0.00074,,,0.011,0.13,0.02,,0.0003,0.099,0.0004,0.048,2.2e-06,3.7999999999999996e-06,,
"Apple pie, home-made, baked (with puff pastry)",,,2.7,19.7,7.5,160,3.3,2.9,0.9,,,10.4,0.3,1.4,0.02,,,2.9999999999999997e-05,4e-05,0.00011,,4e-05,,5.3e-06,8e-08,0.0043,2.0000000000000002e-07,0.00078,,,0.0083,0.12,0.019,,0.0002,0.12,0.0002,0.038,2.2e-06,3.7999999999999996e-06,,
"Applesauce, sweetened, canned",,,0.3,20.5,0.3,89,0.1,0.0,0.1,,,20.4,0.0,1.9,0.0,,,2e-05,2e-05,8e-05,,4e-05,,5.9e-06,0.0,0.0023,0.0,0.00034,,,0.0036,0.097,0.0044,,0.0001,0.0036,0.0002,0.0081,0.0,7e-07,,
"Applesauce, unsweetened, canned",,,0.3,11.7,0.3,55,0.1,0.0,0.1,,,11.6,0.0,2.1,0.0,,,2e-05,2e-05,8.999999999999999e-05,,5e-05,,6.5e-06,0.0,0.0025,0.0,0.00043,,,0.004,0.11,0.0048,,0.0001,0.004,0.0002,0.009,0.0,8.000000000000001e-07,,
"Apple, stewed, drained (without addition of sugar)",,,0.3,12.2,0.3,56,0.1,0.0,0.2,,,12.1,0.0,1.5,0.0,,,1e-05,1e-05,8.999999999999999e-05,,4e-05,,4e-06,0.0,0.0038,0.0,0.00011999999999999999,,,0.0068,0.094,0.0067,,0.0001,0.0012,0.0001,0.015,9.000000000000001e-07,1.1e-06,,
"Apricot, dried",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0.0,,,1e-05,4e-05,0.00269,,0.00015,,8.900000000000001e-06,0.0,0.0002,0.0,0.004,,,0.05,1.37,0.082,,0.0004,0.011,0.0014,0.11,2.2e-06,2.7e-06,,
"Apricot in syrup, canned, drained",,,0.9,13.7,0.1,62,0.0,0.1,0.0,,,13.3,0.0,1.4,0.0,,,2e-05,0.0,0.00011,,2e-05,,6.9e-06,0.0,0.0022,0.0,0.00045,,,0.004900000000000001,0.14,0.018,,0.0001,0.009699999999999999,0.0001,0.011,2.0000000000000002e-07,5e-07,,
"Apricot pie, home-made, baked (with cake dough)",,,3.3,18.6,7.2,156,3.2,2.8,0.8,,,6.9,0.2,1.7,0.02,,,4e-05,5e-05,0.0003,,7.000000000000001e-05,,5.6e-06,8e-08,0.0022,2.0000000000000002e-07,0.00115,,,0.013,0.22,0.027,,0.0003,0.097,0.0005,0.053,2.2e-06,3.6000000000000003e-06,,
"Apricot pie, home-made, baked (with puff pastry)",,,3.1,17.8,7.4,154,3.3,2.9,0.8,,,6.9,0.3,1.7,0.02,,,4e-05,5e-05,0.0003,,5e-05,,5.7999999999999995e-06,8e-08,0.0022,2.0000000000000002e-07,0.0012,,,0.009699999999999999,0.22,0.026,,0.0002,0.12,0.0003,0.044,2.2e-06,3.5e-06,,
"Apricot, raw",,,0.8,9.0,0.1,44,0.0,0.1,0.0,,,6.7,0.0,1.7,0.0,,,2e-05,2e-05,0.00038,,5.9999999999999995e-05,,5.6e-06,0.0,0.0036,0.0,0.00065,,,0.008400000000000001,0.26,0.015,,0.0001,0.0,0.0002,0.022,7e-07,5e-07,,
"Apricot, stewed, drained (without addition of sugar) ",,,1.0,9.0,0.2,45,0.0,0.1,0.0,,,6.7,0.0,1.7,0.0,,,2e-05,2e-05,0.00038,,5e-05,,3.5e-06,0.0,0.0018,0.0,0.00082,,,0.008400000000000001,0.2,0.018,,0.0001,0.0,0.0002,0.022,9.000000000000001e-07,6e-07,,
"Apricot with sweetener, canned, drained",,,0.9,8.2,0.1,40,0.0,0.1,0.0,,,6.1,0.0,1.4,0.0,,,2e-05,2e-05,0.00034,,5e-05,,3.2000000000000003e-06,0.0,0.0016,0.0,0.00074,,,0.0076,0.18,0.016,,0.0001,0.0,0.0002,0.02,8.000000000000001e-07,6e-07,,
"Artichoke, heart, canned, drained",,,1.8,2.3,0.5,27,0.0,0.0,0.0,,,1.2,0.8,3.2,0.0,,,2e-05,2.9999999999999997e-05,0.00039,,2.9999999999999997e-05,,5.43e-05,0.0,0.012199999999999999,3e-07,0.0011200000000000001,,,0.018,0.15,0.025,,0.0003,0.31,0.0004,0.034,0.0,2e-05,,
"Asparagus, green, raw",,,1.9,3.1,0.3,26,0.1,0.0,0.2,,,1.9,0.0,1.8,0.0,,,0.00013000000000000002,0.00011999999999999999,0.00023999999999999998,,0.00011,,9.85e-05,0.0,0.0125,0.0,0.002,,,0.013,0.25,0.017,,0.0006,0.002,0.0004,0.059,6e-07,4e-06,,
"Asparagus (white or green), raw",,,2.2,2.8,0.3,26,0.1,0.0,0.2,,,1.9,0.0,1.8,0.0,,,0.00011999999999999999,0.00017999999999999998,0.00061,,8e-05,,7.94e-05,0.0,0.0148,0.0,0.00113,,,0.011,0.22,0.016,,0.0005,0.0021000000000000003,0.0004,0.05,1e-06,5e-06,,
"Asparagus (white or green), steamed (without addition of salt)",,,2.0,2.7,0.3,25,0.1,0.0,0.2,,,1.8,0.0,1.7,0.0,,,8.999999999999999e-05,0.00016,0.00049,,7.000000000000001e-05,,4.76e-05,0.0,0.0111,0.0,0.00113,,,0.009800000000000001,0.19,0.015,,0.0005,0.0018,0.0003,0.048,9.000000000000001e-07,4.8e-06,,
"Asparagus, with, raw",,,2.4,2.5,0.3,26,0.1,0.0,0.2,,,1.9,0.0,1.8,0.0,,,8.999999999999999e-05,0.00023,0.00098,,5.9999999999999995e-05,,6.12e-05,0.0,0.0177,0.0,0.00113,,,0.0089,0.19,0.016,,0.0004,0.0018,0.0004,0.041,6e-07,4e-06,,
"Avocado, fresh",,,1.6,1.2,15.1,158,2.8,7.7,1.7,,,1.1,0.0,5.5,0.0,,,5e-05,0.00011,0.00122,,0.00014000000000000001,,5.79e-05,0.0,0.0037,0.0,0.0019399999999999999,,,0.029,0.43,0.015,,0.0005,0.0024,0.0005,0.045,0.0,0.0,,
Bacon for cooking,,,17.8,0.6,27.6,322,10.6,12.9,2.2,,,0.6,2.8,0.0,0.049,,,0.00062,0.00014000000000000001,0.00408,,0.00022,,3e-06,3.5e-07,0.024300000000000002,6e-07,0.00029,,,0.016,0.27,0.01,,0.002,1.13,0.0004,0.15,1.1e-05,1.1e-06,,
"Bacon, raw",,,22.1,0.6,34.3,400,13.1,15.5,2.3,,,0.6,3.8,0.0,0.062,,,0.0005600000000000001,0.00014000000000000001,0.006900000000000001,,0.0003,,0.0,5e-07,0.0083,1.7e-06,0.0,,,0.022,0.4,0.0,,0.0023,1.52,0.0,0.21,9.6e-06,0.0,,
Baguette,,,9.0,51.2,0.9,255,0.2,0.1,0.5,,,0.5,1.6,2.9,0.0,,,0.00011999999999999999,2.9999999999999997e-05,0.00046,,8.999999999999999e-05,,8.8e-06,1e-08,0.0,0.0,0.00035999999999999997,,,0.022,0.14,0.01,,0.0007,0.66,0.0009,0.081,2.7e-06,1e-06,,
Balsamic vinegar,,,0.7,25.8,0.6,128,0.0,0.0,0.0,,,19.1,0.1,0.5,0.0,,,2e-05,1e-05,0.0001,,0.00171,,5.5e-06,0.0,0.0005,3e-07,0.0,,,0.012,0.16,0.018,,0.0001,0.027,0.001,0.024,2e-05,2e-05,,
"Bami Goreng, prepared",,,13.5,13.1,2.4,130,0.3,1.3,0.5,,,1.3,1.0,0.9,0.044,,,0.00011,8e-05,0.00357,,0.00014000000000000001,,5e-06,5.0000000000000004e-08,0.0116,3e-07,0.00041,,,0.018,0.2,0.009,,0.0006,0.4,0.0007,0.12,2.2e-05,1.5e-06,,
"Banana, dried",,,3.0,60.2,1.0,273,0.4,0.1,0.2,,,43.7,0.0,5.5,0.0,,,0.0001,0.00017999999999999998,0.002,,0.0008100000000000001,,3.3299999999999996e-05,0.0,0.004,0.0,0.0006,,,0.09,1.15,0.02,,0.0006,0.008,0.0013,0.075,0.0,8.1e-06,,
"Banana, dried (banana chips)",,,3.9,80.7,1.8,370,0.7,0.2,0.3,,,65.3,0.0,7.6,0.0,,,0.00017999999999999998,0.00023999999999999998,0.0028,,0.0,,0.0,0.0,0.007,0.0,0.0,,,0.11,1.49,0.022,,0.0,0.003,0.0012,0.074,0.0,0.0,,
"Banana, raw",,,1.1,19.7,0.2,90,0.1,0.0,0.1,,,15.6,0.0,2.7,0.0,,,5e-05,2.9999999999999997e-05,0.0006,,0.00025,,2.5600000000000002e-05,0.0,0.0119,0.0,0.0,,,0.028,0.32,0.0050999999999999995,,0.0001,0.0,0.0002,0.029,5e-07,3e-06,,
Barbecue sauce,,,0.6,30.3,0.6,131,0.1,0.2,0.2,,,27.5,1.8,1.2,0.0,,,2e-05,1e-05,0.00053,,4e-05,,9.3e-06,0.0,0.0005,3e-07,0.00117,,,0.012,0.22,0.046,,0.0001,0.71,0.0009,0.015,0.0,2.1000000000000002e-06,,
Barley flakes,,,8.5,66.1,1.5,333,0.3,0.1,0.7,,,2.2,0.0,10.3,0.0,,,0.0002,8e-05,0.0031,,0.00029,,1.9e-05,0.0,0.0,0.0,0.00025,,,0.066,0.16,0.016,,0.0013,0.003,0.002,0.19,1e-06,1e-06,,
"Barley risotto, cooked",,,3.0,22.2,2.4,131,0.3,1.3,0.3,,,1.0,0.8,4.5,0.0,,,4e-05,1e-05,0.00034,,5e-05,,1.38e-05,0.0,0.0003,0.0,0.0004,,,0.025,0.065,0.012,,0.0007,0.34,0.0006,0.084,1e-06,7e-07,,
"Basil, raw",,,3.1,5.1,0.8,46,0.1,0.0,0.4,,,5.0,0.0,3.1,0.0,,,8e-05,0.00031,0.0011,,0.00017999999999999998,,5e-05,0.0,0.026,0.0,0.001,,,0.011,0.3,0.25,,0.0007,0.009,0.0055,0.037,0.0,9.000000000000001e-07,,
Basler Leckerli (Swiss biscuit from Basel),,,7.5,75.0,7.9,412,0.7,4.8,1.9,,,52.0,0.0,2.8,0.0,,,5.9999999999999995e-05,0.00015,0.00044,,0.00011,,1.1400000000000001e-05,0.0,0.0011,0.0,0.00382,,,0.04,0.18,0.051,,0.0007,0.0027,0.001,0.098,1.1e-06,4.0000000000000003e-07,,
"Bean, green, dried",,,20.2,42.1,2.0,318,0.4,0.1,1.1,,,22.2,0.1,25.3,0.0,,,0.00045,0.0007099999999999999,0.0040999999999999995,,0.00133,,0.000186,0.0,0.0676,0.0,0.001,,,0.23,2.51,0.54,,0.0025,0.021,0.0072,0.4,0.0,2.5e-05,,
"Bean, green, raw",,,1.9,4.1,0.2,32,0.1,0.0,0.1,,,3.3,0.0,3.0,0.0,,,0.00011999999999999999,8.999999999999999e-05,0.0008,,8.999999999999999e-05,,5.3299999999999995e-05,0.0,0.0108,0.0,0.00035999999999999997,,,0.025,0.26,0.052,,0.0004,0.0039,0.001,0.038,1e-06,2.5e-06,,
